"Set","Song"
"Set 1","The Landlady"
"Set 1","Bouncing Around the Room"
"Set 1","Foam"
"Set 1","Esther"
"Set 1","Mike's Song"
"Set 1","I Am Hydrogen"
"Set 1","Weekapaug Groove"
"Set 1","Cavern"
"Set 1","The Man Who Stepped Into Yesterday"
"Set 1","Avenu Malkenu"
"Set 1","The Man Who Stepped Into Yesterday"
"Set 1","My Sweet One"
"Set 1","Golgi Apparatus"
"Set 2","The Squirming Coil"
"Set 2","Buried Alive"
"Set 2","Reba"
"Set 2","Llama"
"Set 2","Guelah Papyrus"
"Set 2","Divided Sky"
"Set 2","Hold Your Head Up"
"Set 2","Love You"
"Set 2","Hold Your Head Up"
"Set 2","The Lizards"
"Encore","You Enjoy Myself"
