Set,Song
Set 1,Cavern
Set 1,Foam
Set 1,The Squirming Coil
Set 1,Llama
Set 1,Guelah Papyrus
Set 1,My Sweet One
Set 1,Reba
Set 1,The Oh Kee Pa Ceremony
Set 1,AC/DC Bag
Set 1,Golgi Apparatus
Set 1,La Grange
Set 2,Buried Alive
Set 2,Runaway Jim
Set 2,Dinner and a Movie
Set 2,Stash
Set 2,Bouncing Around the Room
Set 2,The Landlady
Set 2,Destiny Unbound
Set 2,Possum
Set 2,The Lizards
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Encore,Hold Your Head Up
Encore,Love You
Encore,Hold Your Head Up
Encore,Good Times Bad Times
