"Set","Song"
"Set 1","Glide"
"Set 1","Llama"
"Set 1","Foam"
"Set 1","Sparkle"
"Set 1","Divided Sky"
"Set 1","Cavern"
"Set 1","The Squirming Coil"
"Set 1","Brother"
"Set 1","Paul and Silas"
"Set 1","Guelah Papyrus"
"Set 1","You Enjoy Myself"
"Set 2","Chalk Dust Torture"
"Set 2","Uncle Pen"
"Set 2","Harry Hood"
"Set 2","It's Ice"
"Set 2","Bouncing Around the Room"
"Set 2","My Sweet One"
"Set 2","Horn"
"Set 2","I Didn't Know"
"Set 2","Run Like an Antelope"
"Set 2","Golgi Apparatus"
"Encore","Contact"
"Encore","Rocky Top"
