Set,Song
Set 1,Memories
Set 1,My Sweet One
Set 1,Chalk Dust Torture
Set 1,The Mango Song
Set 1,Buried Alive
Set 1,Guelah Papyrus
Set 1,Fluffhead
Set 1,Brother
Set 1,Bouncing Around the Room
Set 1,Harry Hood
Set 1,Golgi Apparatus
Set 2,Llama
Set 2,Colonel Forbin's Ascent
Set 2,Fly Famous Mockingbird
Set 2,Sparkle
Set 2,It's Ice
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Tela
Set 2,The Landlady
Set 2,Destiny Unbound
Set 2,Take the 'A' Train
Set 2,Run Like an Antelope
Encore,Sweet Adeline
Encore,Glide
Encore,Possum
