Set,Song
Set 1,Reba
Set 1,Llama
Set 1,The Squirming Coil
Set 1,Golgi Apparatus
Set 1,Guelah Papyrus
Set 1,My Sweet One
Set 1,Colonel Forbin's Ascent
Set 1,Fly Famous Mockingbird
Set 1,The Sloth
Set 1,I Didn't Know
Set 1,Possum
Set 2,Suzy Greenberg
Set 2,Caravan
Set 2,Divided Sky
Set 2,Gumbo
Set 2,Dinner and a Movie
Set 2,Bouncing Around the Room
Set 2,Split Open and Melt
Set 2,Magilla
Set 2,Cavern
Set 2,Run Like an Antelope
Set 3,AC/DC Bag
Set 3,The Landlady
Set 3,Esther
Set 3,Chalk Dust Torture
Set 3,Bathtub Gin
Set 3,Mike's Song
Set 3,I Am Hydrogen
Set 3,Weekapaug Groove
Set 3,Hold Your Head Up
Set 3,Touch Me
Set 3,Harry Hood
Encore,Contact
Encore,Big Black Furry Creature from Mars
