"Set","Song"
"Set 1","Buried Alive"
"Set 1","Possum"
"Set 1","Colonel Forbin's Ascent"
"Set 1","Fly Famous Mockingbird"
"Set 1","Sparkle"
"Set 1","Stash"
"Set 1","Paul and Silas"
"Set 1","Bathtub Gin"
"Set 1","The Squirming Coil"
"Set 1","Llama"
"Set 1","You Enjoy Myself"
"Set 2","Golgi Apparatus"
"Set 2","It's Ice"
"Set 2","My Sweet One"
"Set 2","Run Like an Antelope"
"Set 2","Tela"
"Set 2","The Landlady"
"Set 2","Hold Your Head Up"
"Set 2","Bike"
"Set 2","Hold Your Head Up"
"Set 2","Cavern"
"Encore","Magilla"
"Encore","Brother"
