Set,Song
Set 1,Memories
Set 1,Chalk Dust Torture
Set 1,Reba
Set 1,Poor Heart
Set 1,Cavern
Set 1,Divided Sky
Set 1,Guelah Papyrus
Set 1,Sparkle
Set 1,Suzy Greenberg
Set 1,Magilla
Set 1,David Bowie
Set 2,My Sweet One
Set 2,Brother
Set 2,Bouncing Around the Room
Set 2,Foam
Set 2,Runaway Jim
Set 2,Lawn Boy
Set 2,Stash
Set 2,The Squirming Coil
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Encore,Sweet Adeline
Encore,Golgi Apparatus
Encore,Rocky Top
Encore 2,Hold Your Head Up
Encore 2,Love You
Encore 2,Hold Your Head Up
Encore 2,Llama
