Set,Song
Set 1,Punch You in the Eye
Set 1,The Sloth
Set 1,Reba
Set 1,The Squirming Coil
Set 1,Maze
Set 1,Colonel Forbin's Ascent
Set 1,Fly Famous Mockingbird
Set 1,Shine
Set 1,Fly Famous Mockingbird
Set 1,Sparkle
Set 1,Chalk Dust Torture
Set 2,Drowned
Set 2,The Lizards
Set 2,Axilla (Part II)
Set 2,Runaway Jim
Set 2,Strange Design
Set 2,Hello My Baby
Set 2,Mike's Song
Set 2,Digital Delay Loop Jam
Set 3,Auld Lang Syne
Set 3,Weekapaug Groove
Set 3,Sea and Sand
Set 3,You Enjoy Myself
Set 3,Sanity
Set 3,Frankenstein
Encore,Johnny B. Goode
