"Set","Song"
"Set 1","Chalk Dust Torture"
"Set 1","Ha Ha Ha"
"Set 1","The Fog That Surrounds"
"Set 1","The Horse"
"Set 1","Silent in the Morning"
"Set 1","Cars Trucks Buses"
"Set 1","Strange Design"
"Set 1","Divided Sky"
"Set 1","Acoustic Army"
"Set 1","Julius"
"Set 1","Suzy Greenberg"
"Set 2","Also Sprach Zarathustra"
"Set 2","Runaway Jim"
"Set 2","Colonel Forbin's Ascent"
"Set 2","Fly Famous Mockingbird"
"Set 2","Scent of a Mule"
"Set 2","Cavern"
"Set 2","David Bowie"
"Set 2","Lifeboy"
"Set 2","Amazing Grace"
"Encore","While My Guitar Gently Weeps"
