"Set","Song"
"Set 1","My Friend, My Friend"
"Set 1","Llama"
"Set 1","Bouncing Around the Room"
"Set 1","Guelah Papyrus"
"Set 1","Reba"
"Set 1","I Didn't Know"
"Set 1","Taste That Surrounds"
"Set 1","If I Could"
"Set 1","Split Open and Melt"
"Set 1","Hello My Baby"
"Set 2","The Curtain"
"Set 2","Tweezer"
"Set 2","Keyboard Army"
"Set 2","Sample in a Jar"
"Set 2","Slave to the Traffic Light"
"Set 2","Hold Your Head Up"
"Set 2","Cracklin' Rosie"
"Set 2","Hold Your Head Up"
"Set 2","Possum"
"Set 2","Tweezer Reprise"
"Encore","Fire"
