"Set","Song"
"Set 1","Icculus"
"Set 1","Divided Sky"
"Set 1","Wilson"
"Set 1","Ya Mar"
"Set 1","Sparkle"
"Set 1","Free"
"Set 1","Guyute"
"Set 1","Run Like an Antelope"
"Set 1","Harpua"
"Set 2","I Am the Sea"
"Set 2","The Real Me"
"Set 2","Quadrophenia"
"Set 2","Cut My Hair"
"Set 2","The Punk Meets the Godfather"
"Set 2","I'm One"
"Set 2","The Dirty Jobs"
"Set 2","Helpless Dancer"
"Set 2","Is It In My Head?"
"Set 2","I've Had Enough"
"Set 2",", "
"Set 2",", "
"Set 2",", "
"Set 2",", "
"Set 2"," > "
"Set 2",", "
"Set 3","You Enjoy Myself"
"Set 3","Jesus Just Left Chicago"
"Set 3","A Day in the Life"
"Set 3","Suzy Greenberg"
"Encore","My Generation"
