"Set","Song"
"Set 1","The Oh Kee Pa Ceremony"
"Set 1","AC/DC Bag"
"Set 1","The Curtain"
"Set 1","Sparkle"
"Set 1","Stash"
"Set 1","Tela"
"Set 1","I'm Blue, I'm Lonesome"
"Set 1","Maze"
"Set 1","Suzy Greenberg"
"Set 2","Chalk Dust Torture"
"Set 2","Theme From the Bottom"
"Set 2","Reba"
"Set 2","Catapult"
"Set 2","Scent of a Mule"
"Set 2","Bathtub Gin"
"Set 2","Acoustic Army"
"Set 2","Hold Your Head Up"
"Set 2","Bike"
"Set 2","Hold Your Head Up"
"Set 2","Fee"
"Set 2","Julius"
"Encore","Life on Mars?"
"Encore","Rocky Top"
