Set,Song
Set 1,Cities
Set 1,Chalk Dust Torture
Set 1,Gumbo
Set 1,Quinn the Eskimo
Set 1,Halley's Comet
Set 1,Camel Walk
Set 1,Maze
Set 1,Driver
Set 1,Bathtub Gin
Set 1,Fat Man in the Bathtub
Set 1,Timber (Jerry The Mule)
Set 1,Golgi Apparatus
Set 1,Character Zero
Set 2,Tweezer
Set 2,Light
Set 2,Theme From the Bottom
Set 2,My Friend, My Friend
Set 2,Axilla
Set 2,Fluffhead
Set 2,Boogie On Reggae Woman
Set 2,Also Sprach Zarathustra
Set 2,Suzy Greenberg
Encore,Run Like an Antelope
Encore,Tweezer Reprise
