Set,Song
Set 1,Punch You in the Eye
Set 1,AC/DC Bag
Set 1,The Moma Dance
Set 1,Scent of a Mule
Set 1,Burn That Bridge
Set 1,Weigh
Set 1,Ocelot
Set 1,Beauty of My Dreams
Set 1,Gone
Set 1,Rock and Roll
Set 2,Wilson
Set 2,46 Days
Set 2,Sand
Set 2,NICU
Set 2,Down with Disease
Set 2,Ghost
Set 2,You Enjoy Myself
Set 2,Manteca
Set 2,You Enjoy Myself
Set 3,Meatstick
Set 3,Auld Lang Syne
Set 3,After Midnight
Set 3,Backwards Down the Number Line
Set 3,Piper
Set 3,Free
Set 3,Waste
Set 3,Slave to the Traffic Light
Set 3,Grind
Encore,First Tube
