"Set","Song"
"Set 1","Punch You in the Eye"
"Set 1","Possum"
"Set 1","Bathtub Gin"
"Set 1","Bill Bailey, Won't You Please Come Home?"
"Set 1","Boogie On Reggae Woman"
"Set 1","Destiny Unbound"
"Set 1","Backwards Down the Number Line"
"Set 1","Bouncing Around the Room"
"Set 1","Stash"
"Set 1","Joy"
"Set 1","Buffalo Bill"
"Set 1","Dog Faced Boy"
"Set 1","Run Like an Antelope"
"Set 2","Down with Disease"
"Set 2","Prince Caspian"
"Set 2","Twist"
"Set 2","Roses Are Free"
"Set 2","My Friend, My Friend"
"Set 2","My Problem Right There"
"Set 2","Tube"
"Set 2","Mike's Song"
"Set 2","The Horse"
"Set 2","Silent in the Morning"
"Set 2","Mexican Cousin"
"Set 2","Weekapaug Groove"
"Set 2","Suzy Greenberg"
"Set 2","Slave to the Traffic Light"
"Encore","Character Zero"
