Set,Song
Set 1,Alumni Blues
Set 1,Letter to Jimmy Page
Set 1,Alumni Blues
Set 1,Big Black Furry Creature from Mars
Set 1,Runaway Jim
Set 1,Army of One
Set 1,Free Man in Paris
Set 1,Summer of '89
Set 1,Split Open and Melt
Set 1,The Sloth
Set 1,Time Turns Elastic
Set 1,Golgi Apparatus
Set 2,Chalk Dust Torture
Set 2,Prince Caspian
Set 2,Heavy Things
Set 2,Alaska
Set 2,Also Sprach Zarathustra
Set 2,Billie Jean Jam
Set 2,Also Sprach Zarathustra
Set 2,Light
Set 2,Possum
Set 2,Character Zero
Encore,Shine a Light
