"Set","Song"
"Set 1","Sample in a Jar"
"Set 1","Funky Bitch"
"Set 1","Cool It Down"
"Set 1","Roggae"
"Set 1","Heavy Things"
"Set 1","What Things Seem"
"Set 1","Roses Are Free"
"Set 1","It's Ice"
"Set 1","Mountains in the Mist"
"Set 1","Julius"
"Set 2","Mike's Song"
"Set 2","Mound"
"Set 2","Weekapaug Groove"
"Set 2","Farmhouse"
"Set 2","Seven Below"
"Set 2","What's the Use?"
"Set 2","Twenty Years Later"
"Set 2","Wading in the Velvet Sea"
"Set 2","Possum"
"Set 2","Cavern"
"Set 2","David Bowie"
"Encore","Loving Cup"
