"Set","Song"
"Set 1","Character Zero"
"Set 1","Destiny Unbound"
"Set 1","Rift"
"Set 1","McGrupp and the Watchful Hosemasters"
"Set 1","Bathtub Gin"
"Set 1","Mountains in the Mist"
"Set 1","NICU"
"Set 1","Gumbo"
"Set 1","My Sweet One"
"Set 1","Stealing Time From the Faulty Plan"
"Set 1","Strange Design"
"Set 1","Sanity"
"Set 1","Run Like an Antelope"
"Set 2","Rock and Roll"
"Set 2","Prince Caspian"
"Set 2","Tweezer"
"Set 2","Slave to the Traffic Light"
"Set 2","Bouncing Around the Room"
"Set 2","Possum"
"Set 2","Backwards Down the Number Line"
"Set 2","Harry Hood"
"Set 2","Loving Cup"
"Encore","Sleeping Monkey"
"Encore","Tweezer Reprise"
