Set,Song
Set 1,After Midnight
Set 1,The Sloth
Set 1,Alumni Blues
Set 1,Letter to Jimmy Page
Set 1,Alumni Blues
Set 1,Mellow Mood
Set 1,Access Me
Set 1,Llama
Set 1,All of These Dreams
Set 1,The Curtain With
Set 1,Scent of a Mule
Set 1,A Song I Heard the Ocean Sing
Set 1,It's Ice
Set 1,Walls of the Cave
Set 2,Possum
Set 2,Light
Set 2,Mike's Song
Set 2,Simple
Set 2,Makisupa Policeman
Set 2,Night Nurse
Set 2,Makisupa Policeman
Set 2,The Wedge
Set 2,Ghost
Set 2,The Mango Song
Set 2,Weekapaug Groove
Set 2,Llama Reprise
Encore,Show of Life
