Set,Song
Set 1,Frankenstein
Set 1,Big Black Furry Creature from Mars
Set 1,Ghost
Set 1,Spooky
Set 1,Divided Sky
Set 1,Roses Are Free
Set 1,Funky Bitch
Set 1,Boogie On Reggae Woman
Set 1,Stash
Set 1,Character Zero
Set 2,Fat Man in the Bathtub
Set 2,All That You Dream
Set 2,Oh Atlanta
Set 2,Old Folks Boogie
Set 2,Time Loves a Hero
Set 2,Day or Night
Set 2,Mercenary Territory
Set 2,Spanish Moon
Set 2,Dixie Chicken
Set 2,Tripe Face Boogie
Set 2,Rocket in My Pocket
Set 2,Willin'
Set 2,Don't Bogart That Joint
Set 2,A Apolitical Blues
Set 2,Sailin' Shoes
Set 2,Feats Don't Fail Me Now
Set 3,Down with Disease
Set 3,Back on the Train
Set 3,Gotta Jibboo
Set 3,Camel Walk
Set 3,Suzy Greenberg
Set 3,Wilson
Set 3,Harry Hood
Set 3,The Horse
Set 3,Silent in the Morning
Set 3,You Enjoy Myself
Encore,Julius
