"Set","Song"
"Set 1","Tweezer"
"Set 1","AC/DC Bag"
"Set 1","On Your Way Down"
"Set 1","Divided Sky"
"Set 1","Stealing Time From the Faulty Plan"
"Set 1","Water in the Sky"
"Set 1","The Moma Dance"
"Set 1","Farmhouse"
"Set 1","David Bowie"
"Set 2","Ghost"
"Set 2","Theme From the Bottom"
"Set 2","Big Black Furry Creature from Mars"
"Set 2","You Enjoy Myself"
"Set 2","Piper"
"Set 2","Also Sprach Zarathustra"
"Set 2","While My Guitar Gently Weeps"
"Set 2","Character Zero"
"Encore","Oh! Sweet Nuthin'"
"Encore","Cavern"
"Encore","Joy"
"Encore","Tweezer Reprise"
