"Set","Song"
"Set 1","Punch You in the Eye"
"Set 1","Ocelot"
"Set 1","Dinner and a Movie"
"Set 1","Stash"
"Set 1","Esther"
"Set 1","Walk Away"
"Set 1","Divided Sky"
"Set 1","When the Circus Comes"
"Set 1","Sugar Shack"
"Set 1","Alaska"
"Set 1","Golgi Apparatus"
"Set 2","Party Time"
"Set 2","Down with Disease"
"Set 2","Sand"
"Set 2","The Horse"
"Set 2","Silent in the Morning"
"Set 2","Guyute"
"Set 2","Farmhouse"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Encore","Shine a Light"
