"Set","Song"
"Set 1","The Star Spangled Banner"
"Set 1","Punch You in the Eye"
"Set 1","Colonel Forbin's Ascent"
"Set 1","Fly Famous Mockingbird"
"Set 1","Camel Walk"
"Set 1","Ocelot"
"Set 1","Heavy Things"
"Set 1","My Friend, My Friend"
"Set 1","Lawn Boy"
"Set 1","David Bowie"
"Set 1","Gotta Jibboo"
"Set 2","Down with Disease"
"Set 2","Piper"
"Set 2","Ghost"
"Set 2","Waste"
"Set 2","Julius"
"Set 2","Mike's Song"
"Set 2","Tela"
"Set 2","Harpua"
"Set 2","Killing in the Name"
"Set 2","Harpua"
"Set 2","Weekapaug Groove"
"Encore","First Tube"
