"Set","Song"
"Set 1","Buried Alive"
"Set 1","Wolfman's Brother"
"Set 1","Axilla"
"Set 1","Poor Heart"
"Set 1","Sample in a Jar"
"Set 1","Tube"
"Set 1","Beauty of My Dreams"
"Set 1","Roggae"
"Set 1","Vultures"
"Set 1","Dirt"
"Set 1","Split Open and Melt"
"Set 2","Gotta Jibboo"
"Set 2","Bug"
"Set 2","First Tube"
"Set 2","Mike's Song"
"Set 2","Swept Away"
"Set 2","Steep"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","Nellie Kane"
"Set 2","Ghost"
"Encore","While My Guitar Gently Weeps"
