Set,Song
Set 1,Ya Mar
Set 1,The Moma Dance
Set 1,Uncle Pen
Set 1,Drowned
Set 1,Chalk Dust Torture Reprise
Set 1,Chalk Dust Torture
Set 1,Theme From the Bottom
Set 1,Cavern
Set 2,Also Sprach Zarathustra
Set 2,Down with Disease
Set 2,Moby Dick
Set 2,Down with Disease
Set 2,Runaway Jim
Set 2,Moby Dick
Set 2,Back on the Train
Set 2,Moby Dick
Set 2,Back on the Train
Set 2,Harry Hood
Set 2,Moby Dick
Set 2,Hold Your Head Up
Set 2,Terrapin
Set 2,Hold Your Head Up
Set 2,Moby Dick
Set 2,Hold Your Head Up
Set 2,Character Zero
Encore,First Tube
Encore,Moby Dick
Encore,Chalk Dust Torture Reprise
