Set,Song
Set 1,Kill Devil Falls
Set 1,Ocelot
Set 1,Brian and Robert
Set 1,Sample in a Jar
Set 1,Rift
Set 1,Ya Mar
Set 1,Reba
Set 1,Train Song
Set 1,Horn
Set 1,Possum
Set 1,Slave to the Traffic Light
Set 2,Halley's Comet
Set 2,Runaway Jim
Set 2,Frankie Says
Set 2,Time Turns Elastic
Set 2,Sleep
Set 2,Mike's Song
Set 2,I Am Hydrogen
Set 2,Weekapaug Groove
Set 2,Boogie On Reggae Woman
Set 2,Character Zero
Encore,The Star Spangled Banner
Encore,McGrupp and the Watchful Hosemasters
Encore,While My Guitar Gently Weeps
