Set,Song
Set 1,Water in the Sky
Set 1,Back on the Train
Set 1,Brian and Robert
Set 1,Invisible
Set 1,Strange Design
Set 1,Mountains in the Mist
Set 1,The Curtain With
Set 1,Army of One
Set 1,Sleep Again
Set 1,My Sweet One
Set 1,Let Me Lie
Set 1,Bouncing Around the Room
Set 1,Train Song
Set 1,Wilson
Set 1,McGrupp and the Watchful Hosemasters
Encore,Driver
Encore,Talk
Encore,Secret Smile
Set 2,AC/DC Bag
Set 2,Rift
Set 2,Gotta Jibboo
Set 2,Heavy Things
Set 2,Reba
Set 2,The Wedge
Set 2,Guelah Papyrus
Set 2,Undermind
Set 2,Sparkle
Set 2,Split Open and Melt
Set 3,Tweezer
Set 3,Maze
Set 3,Free
Set 3,Sugar Shack
Set 3,Limb By Limb
Set 3,Theme From the Bottom
Set 3,Mike's Song
Set 3,Also Sprach Zarathustra
Set 3,Light
Set 3,Slave to the Traffic Light
Encore,Grind
Encore,Esther
Encore,Tweezer Reprise
