"Set","Song"
"Set 1","Chalk Dust Torture"
"Set 1","Fee"
"Set 1","Wolfman's Brother"
"Set 1","Guyute"
"Set 1","My Sweet One"
"Set 1","46 Days"
"Set 1","The Lizards"
"Set 1","The Wedge"
"Set 1","Strange Design"
"Set 1","Tube"
"Set 1","First Tube"
"Set 2","Sand"
"Set 2","Suzy Greenberg"
"Set 2","Limb By Limb"
"Set 2","The Horse"
"Set 2","Silent in the Morning"
"Set 2","Sugar Shack"
"Set 2","Character Zero"
"Set 2","Tweezer"
"Encore","Joy"
"Encore","Bouncing Around the Room"
"Encore","Run Like an Antelope"
"Encore","Tweezer Reprise"
