"Set","Song"
"Set 1","AC/DC Bag"
"Set 1","Foam"
"Set 1","Stealing Time From the Faulty Plan"
"Set 1","Bouncing Around the Room"
"Set 1","Sample in a Jar"
"Set 1","Kill Devil Falls"
"Set 1","It's Ice"
"Set 1","Horn"
"Set 1","Mountains in the Mist"
"Set 1","Poor Heart"
"Set 1","46 Days"
"Set 1","David Bowie"
"Set 2","Runaway Jim"
"Set 2","Down with Disease"
"Set 2","Free"
"Set 2","Waste"
"Set 2","Taste"
"Set 2","Bug"
"Set 2","Wading in the Velvet Sea"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Set 2","Cavern"
"Encore","Character Zero"
