Set,Song
Set 1,Fluffhead
Set 1,Divided Sky
Set 1,Chalk Dust Torture
Set 1,Sample in a Jar
Set 1,Stash
Set 1,I Didn't Know
Set 1,The Oh Kee Pa Ceremony
Set 1,Suzy Greenberg
Set 1,Farmhouse
Set 1,NICU
Set 1,Horn
Set 1,Rift
Set 1,Train Song
Set 1,Water in the Sky
Set 1,The Squirming Coil
Set 1,David Bowie
Set 2,Backwards Down the Number Line
Set 2,Tweezer
Set 2,Taste
Set 2,Possum
Set 2,Theme From the Bottom
Set 2,First Tube
Set 2,Harry Hood
Set 2,Waste
Set 2,You Enjoy Myself
Encore,Grind
Encore,Bouncing Around the Room
Encore,Loving Cup
