"Set","Song"
"Set 1","Chalk Dust Torture"
"Set 1","Bathtub Gin"
"Set 1","Cities"
"Set 1","Camel Walk"
"Set 1","The Curtain With"
"Set 1","The Wedge"
"Set 1","The Moma Dance"
"Set 1","Reba"
"Set 1","Golgi Apparatus"
"Set 1","Stealing Time From the Faulty Plan"
"Set 2","Possum"
"Set 2","Down with Disease"
"Set 2","Twenty Years Later"
"Set 2","Harry Hood"
"Set 2","The Mango Song"
"Set 2","Mike's Song"
"Set 2","Simple"
"Set 2","Slave to the Traffic Light"
"Set 2","Weekapaug Groove"
"Encore","A Day in the Life"
