"Set","Song"
"Set 1","Golgi Apparatus"
"Set 1","Chalk Dust Torture"
"Set 1","Bouncing Around the Room"
"Set 1","Wolfman's Brother"
"Set 1","Divided Sky"
"Set 1","Heavy Things"
"Set 1","Walk Away"
"Set 1","Wilson"
"Set 1","Tube"
"Set 1","Alaska"
"Set 1","David Bowie"
"Set 2","Down with Disease"
"Set 2","Free"
"Set 2","Guyute"
"Set 2","Piper"
"Set 2","When the Circus Comes"
"Set 2","Harry Hood"
"Set 2","The Squirming Coil"
"Set 2","You Enjoy Myself"
"Encore","Grind"
"Encore","Hello My Baby"
"Encore","Hold Your Head Up"
"Encore","Bike"
"Encore","Hold Your Head Up"
"Encore","Loving Cup"
