"Set","Song"
"Set 1","Wilson"
"Set 1","Buried Alive"
"Set 1","Kill Devil Falls"
"Set 1","AC/DC Bag"
"Set 1","I Didn't Know"
"Set 1","My Friend, My Friend"
"Set 1","Ya Mar"
"Set 1","Theme From the Bottom"
"Set 1","Boogie On Reggae Woman"
"Set 1","Split Open and Melt"
"Set 2","Down with Disease"
"Set 2","Twist"
"Set 2","Piper"
"Set 2","Backwards Down the Number Line"
"Set 2","Free"
"Set 2","Twenty Years Later"
"Set 2","Also Sprach Zarathustra"
"Set 2","Slave to the Traffic Light"
"Encore","A Day in the Life"
