"Set","Song"
"Set 1","The Star Spangled Banner"
"Set 1","Sample in a Jar"
"Set 1","The Moma Dance"
"Set 1","Chalk Dust Torture"
"Set 1","Ocelot"
"Set 1","Stash"
"Set 1","Bouncing Around the Room"
"Set 1","Poor Heart"
"Set 1","Limb By Limb"
"Set 1","Wading in the Velvet Sea"
"Set 1","Down with Disease"
"Set 1","Destiny Unbound"
"Set 1","Character Zero"
"Set 2","Tweezer"
"Set 2","Light"
"Set 2","Bathtub Gin"
"Set 2","David Bowie"
"Set 2","Time Turns Elastic"
"Set 2","Free"
"Set 2","The Ballad of Curtis Loew"
"Set 2","You Enjoy Myself"
"Encore","Cavern"
"Encore","Good Times Bad Times"
"Encore","Tweezer Reprise"
