"Set","Song"
"Set 1","A Song I Heard the Ocean Sing"
"Set 1","Dinner and a Movie"
"Set 1","The Curtain With"
"Set 1","Sample in a Jar"
"Set 1","The Moma Dance"
"Set 1","Free"
"Set 1","Nothing"
"Set 1","Maze"
"Set 1","Frankenstein"
"Set 2","46 Days"
"Set 2","Possum"
"Set 2","The Oh Kee Pa Ceremony"
"Set 2","Suzy Greenberg"
"Set 2","Axilla"
"Set 2","Also Sprach Zarathustra"
"Set 2","Birds of a Feather"
"Set 2","Kung"
"Set 2","Mike's Song"
"Set 2","I Am Hydrogen"
"Set 2","Weekapaug Groove"
"Encore","Divided Sky"
