"Set","Song"
"Set 1","AC/DC Bag"
"Set 1","Martian Monster"
"Set 1","Ass Handed"
"Set 1","Everything's Right"
"Set 1","555"
"Set 1","The Wedge"
"Set 1","Lawn Boy"
"Set 1","Back on the Train"
"Set 1","Ocelot"
"Set 1","My Sweet One"
"Set 1","Theme From the Bottom"
"Set 1","Bathtub Gin"
"Set 2","Down with Disease"
"Set 2","What's the Use?"
"Set 2","Blaze On"
"Set 2","I Always Wanted It This Way"
"Set 2","Joy"
"Set 2","Limb By Limb"
"Set 2","Also Sprach Zarathustra"
"Set 2","You Enjoy Myself"
"Encore","Suzy Greenberg"
