Set,Song
Set 1,Buried Alive
Set 1,Ghost
Set 1,Crazy Sometimes
Set 1,Free
Set 1,More
Set 1,Halley's Comet
Set 1,Ocelot
Set 1,Theme From the Bottom
Set 1,First Tube
Set 2,Turtle in the Clouds
Set 2,Stray Dog
Set 2,Everything is Hollow
Set 2,We Are Come to Outlive Our Brains
Set 2,Say It To Me S.A.N.T.O.S.
Set 2,The Final Hurrah
Set 2,Play by Play
Set 2,Death Don't Hurt Very Long
Set 2,Cool Amber and Mercury
Set 2,Passing Through
Set 3,Set Your Soul Free
Set 3,Tweezer
Set 3,A Song I Heard the Ocean Sing
Set 3,Backwards Down the Number Line
Set 3,Meatstick
Set 3,Bug
Set 3,Run Like an Antelope
Encore,Loving Cup
Encore,Tweezer Reprise
