"Set","Song"
"Set 1","Golgi Apparatus"
"Set 1","Slave to the Traffic Light"
"Set 1","La Grange"
"Set 1","Lushington"
"Set 1","Possum"
"Set 1","Sneakin' Sally Through the Alley"
"Set 1","Timber (Jerry The Mule)"
"Set 1","Good Times Bad Times"
"Set 1","AC/DC Bag"
"Set 1","Shaggy Dog"
"Set 1","Funky Bitch"
"Set 2","The Curtain With"
"Set 2","Halley's Comet"
"Set 2","The Sloth"
"Set 2","Light Up Or Leave Me Alone"
"Set 2","Skin It Back"
"Set 2","Peaches en Regalia"
"Set 2","Fluffhead"
"Set 2","Fee"
"Set 2","Harry Hood"
"Set 2","Harpua"
"Set 2","Suzy Greenberg"
"Set 3","David Bowie"
"Set 3","You Enjoy Myself"
"Set 3","Ya Mar"
"Set 3","Divided Sky"
"Set 3","Flat Fee"
"Set 3","McGrupp and the Watchful Hosemasters"
"Set 3","Corinna"
