Set,Song
Set 1,Alumni Blues
Set 1,Letter to Jimmy Page
Set 1,Alumni Blues
Set 1,The Ballad of Curtis Loew
Set 1,Sneakin' Sally Through the Alley
Set 1,Makisupa Policeman
Set 1,Big Black Furry Creature from Mars
Set 1,Flat Fee
Set 1,Lushington
Set 1,Suzy Greenberg
Set 1,Hold Your Head Up
Set 1,Suzy Greenberg
Set 1,Mustang Sally
Set 1,Ya Mar
Set 1,The Man Who Stepped Into Yesterday
Set 1,Avenu Malkenu
Set 1,The Man Who Stepped Into Yesterday
Set 2,Clod
Set 2,Slave to the Traffic Light
Set 2,Swing Low, Sweet Chariot
Set 2,The Curtain With
Set 2,McGrupp and the Watchful Hosemasters
Set 2,Possum
Set 2,Harry Hood
Set 2,Timber (Jerry The Mule)
Set 2,AC/DC Bag
Set 2,Divided Sky
Set 2,Harpua
Set 2,Bundle of Joy
Set 2,Harpua
Set 3,La Grange
Set 3,Corinna
Set 3,Mike's Song
Set 3,I Am Hydrogen
Set 3,Who Do? We Do!
Set 3,Shaggy Dog
Set 3,David Bowie
Set 3,Jesus Just Left Chicago
Encore,She Caught the Katy and Left Me a Mule to Ride
