Set,Song
Set 1,Dog Log
Set 1,Peaches en Regalia
Set 1,Divided Sky
Set 1,Funky Bitch
Set 1,Harry Hood
Set 1,Clod
Set 1,The Curtain With
Set 1,Light Up Or Leave Me Alone
Set 1,Shaggy Dog
Set 1,Wilson
Set 1,Camel Walk
Set 2,Mike's Song
Set 2,Hold Your Head Up
Set 2,Harpua
Set 2,Bundle of Joy
Set 2,Harpua
Set 2,Golgi Apparatus
Set 2,Sparks
Set 2,Flat Fee
Set 2,Fee
Set 2,Skin It Back
Set 2,Low Rider Jam
Set 2,Back Porch Boogie Blues
Set 2,The Sloth
Set 3,Big Black Furry Creature from Mars
Set 3,McGrupp and the Watchful Hosemasters
Set 3,Stir It Up Jam
Set 3,Makisupa Policeman Jam
Set 3,David Bowie
Set 3,Sanity
Set 3,Swing Low, Sweet Chariot
