"Set","Song"
"Set 1","You Enjoy Myself"
"Set 1","Lushington"
"Set 1","Possum"
"Set 1","Slave to the Traffic Light"
"Set 1","Sneakin' Sally Through the Alley"
"Set 1","Clod"
"Set 1","Peaches en Regalia"
"Set 1","The Man Who Stepped Into Yesterday"
"Set 1","Avenu Malkenu"
"Set 1","The Man Who Stepped Into Yesterday"
"Set 1","Makisupa Policeman"
"Set 1","Ya Mar"
"Set 2","Divided Sky"
"Set 2","Funky Bitch"
"Set 2","Harpua"
"Set 2","Bundle of Joy"
"Set 2","Harpua"
"Set 2","Fluffhead"
"Set 2","Good Times Bad Times"
"Encore","Golgi Apparatus"
"Encore","Corinna"
"Encore","Letter to Jimmy Page"
