Set,Song
Set 1,She Caught the Katy and Left Me a Mule to Ride
Set 1,Alumni Blues
Set 1,Letter to Jimmy Page
Set 1,Alumni Blues
Set 1,Golgi Apparatus
Set 1,Swing Low, Sweet Chariot
Set 1,Fire
Set 1,Skin It Back
Set 1,Cities
Set 1,Lushington
Set 2,Dog Log
Set 2,Melt the Guns
Set 2,Dave's Energy Guide
Set 2,Take the 'A' Train
Set 2,Halley's Comet
Set 2,Quinn the Eskimo
Set 2,AC/DC Bag
Set 3,Peaches en Regalia
Set 3,Fluffhead
Set 3,Good Times Bad Times
Set 3,Anarchy
Set 3,Makisupa Policeman
Set 3,Run Like an Antelope
Set 3,Boogie On Reggae Woman
Set 3,Timber (Jerry The Mule)
Set 3,Slave to the Traffic Light
Set 3,Sparks
Set 3,McGrupp and the Watchful Hosemasters
Set 3,The Ballad of Curtis Loew
Set 3,Come On (Part One)
Set 3,I Am Hydrogen
Set 3,Who Do? We Do!
Encore,Fuck Your Face
