Set,Song
Set 1,McGrupp and the Watchful Hosemasters
Set 1,Sparks
Set 1,Funky Bitch
Set 1,You Enjoy Myself
Set 1,Sneakin' Sally Through the Alley
Set 1,Harry Hood
Set 1,Fire
Set 2,Timber (Jerry The Mule)
Set 2,Fluffhead
Set 2,I Didn't Know
Set 2,Fee
Set 2,Corinna
Set 2,Alumni Blues
Set 2,Letter to Jimmy Page
Set 2,Alumni Blues
Set 3,Jam
Set 3,Suzy Greenberg
Set 3,Possum
Set 3,Divided Sky
Set 3,Big Black Furry Creature from Mars
Set 3,Dinner and a Movie
Set 3,The Ballad of Curtis Loew
Set 3,Whipping Post
Set 3,Harpua
Set 3,Take the 'A' Train
Set 3,Camel Walk
Set 3,La Grange
Set 3,Bike
Set 3,Slave to the Traffic Light
