"Set","Song"
"Set 1","AC/DC Bag"
"Set 1","Ya Mar"
"Set 1","Runaway Jim"
"Set 1","Reba"
"Set 1","Birds of a Feather"
"Set 1","Meatstick"
"Set 1","Two Versions of Me"
"Set 1","Vultures"
"Set 1","Limb By Limb"
"Set 1","Cavern"
"Set 2","Down with Disease"
"Set 2","NICU"
"Set 2","Brother"
"Set 2","Lawn Boy"
"Set 2","Discern"
"Set 2","Waves"
"Set 2","Jam"
"Set 2","David Bowie"
"Set 3","Rock and Roll"
"Set 3","Seven Below"
"Set 3","Scents and Subtle Sounds"
"Set 3","Seven Below"
"Set 3","Spread It 'Round"
"Set 3","Bug"
"Encore","Dog Log"
"Encore","The Mango Song"
"Set 4","Tower Jam"
