"Set","Song"
"Set 1","AC/DC Bag"
"Set 1","Ya Mar"
"Set 1","Theme From the Bottom"
"Set 1","Saw It Again"
"Set 1","Poor Heart"
"Set 1","Two Versions of Me"
"Set 1","Secret Smile"
"Set 1","Mike's Song"
"Set 1","I Am Hydrogen"
"Set 1","Weekapaug Groove"
"Set 2","Mr. Completely"
"Set 2","Low Rider"
"Set 2","Big Black Furry Creature from Mars"
"Set 2","Buried Alive"
"Set 2","Big Black Furry Creature from Mars"
"Set 2","Ha Ha Ha"
"Set 2","Big Black Furry Creature from Mars"
"Set 2","Mr. Completely"
"Set 2","Spread It 'Round"
"Set 2","Walls of the Cave"
"Set 2","Golgi Apparatus"
"Set 2","Slave to the Traffic Light"
"Encore","Sleeping Monkey"
