Set,Song
Set 1,The Wedge
Set 1,Beauty of My Dreams
Set 1,Dogs Stole Things
Set 1,Vultures
Set 1,Water in the Sky
Set 1,Maze
Set 1,Bouncing Around the Room
Set 1,Tweezer
Set 1,Taste
Set 1,Carolina
Set 2,Down with Disease
Set 2,Bathtub Gin
Set 2,Uncle Pen
Set 2,Also Sprach Zarathustra
Set 2,Art Jam
Set 2,Harry Hood
Set 3,Buffalo Bill
Set 3,NICU
Set 3,Weigh
Set 3,Guyute
Set 3,Dirt
Set 3,Scent of a Mule
Set 3,Digital Delay Loop Jam
Set 3,Scent of a Mule
Set 3,Prince Caspian
Encore,When the Circus Comes
Encore,Tweezer Reprise
