"Set","Song"
"Set 1","Carini"
"Set 1","Axilla"
"Set 1","All Things Reconsidered"
"Set 1","The Sloth"
"Set 1","Love Me"
"Set 1","Rift"
"Set 1","Fluffhead"
"Set 1","Frankenstein"
"Set 1","David Bowie"
"Set 2","Daniel Saw the Stone"
"Set 2","Suzy Greenberg"
"Set 2","Maze"
"Set 2","The Horse"
"Set 2","Silent in the Morning"
"Set 2","Peaches en Regalia"
"Set 2","Mike's Song"
"Set 2","Why Don't We Do It in the Road?"
"Set 2","Hold Your Head Up"
"Set 2","Good Times Bad Times"
"Encore","Billy Breathes"
"Encore","Rocky Top"
